#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.48504011e+00 6.72350096e-09 2.27179119e-07 2.29020737e-07
1.48987738e+00 6.74540171e-09 2.28877108e-07 2.30320831e-07
1.49471464e+00 6.76730221e-09 2.30576984e-07 2.31621650e-07
1.49955191e+00 6.78920296e-09 2.32278032e-07 2.32922839e-07
1.50438917e+00 6.81110358e-09 2.33979536e-07 2.34224042e-07
1.50922643e+00 6.83300420e-09 2.35680788e-07 2.35524913e-07
1.51406370e+00 6.85490482e-09 2.37381074e-07 2.36825100e-07
1.51890096e+00 6.87680545e-09 2.39079688e-07 2.38124260e-07
1.52373823e+00 6.89870633e-09 2.40775923e-07 2.39422050e-07
1.52857549e+00 6.92060695e-09 2.42469079e-07 2.40718130e-07
1.53341276e+00 6.94250757e-09 2.44158460e-07 2.42012167e-07
1.53825002e+00 6.96440806e-09 2.45843373e-07 2.43303829e-07
1.54308728e+00 6.98630881e-09 2.47523131e-07 2.44592789e-07
1.54792455e+00 7.00820931e-09 2.49197052e-07 2.45878721e-07
1.55276181e+00 7.03011019e-09 2.50864466e-07 2.47161311e-07
1.55759908e+00 7.05201094e-09 2.52524702e-07 2.48440243e-07
1.56243634e+00 7.07391169e-09 2.54177102e-07 2.49715208e-07
1.56727360e+00 7.09581192e-09 2.55821013e-07 2.50985903e-07
1.57211087e+00 7.11771306e-09 2.57455791e-07 2.52252027e-07
1.57694813e+00 7.13961355e-09 2.59080804e-07 2.53513290e-07
1.58178540e+00 7.16151430e-09 2.60695426e-07 2.54769402e-07
1.58662266e+00 7.18341505e-09 2.62299043e-07 2.56020082e-07
1.59145993e+00 7.20531555e-09 2.63891048e-07 2.57265051e-07
1.59629719e+00 7.22721642e-09 2.65470853e-07 2.58504045e-07
1.60113445e+00 7.24911730e-09 2.67037875e-07 2.59736797e-07
1.60597172e+00 7.27101780e-09 2.68591543e-07 2.60963050e-07
1.61080898e+00 7.29291855e-09 2.70131301e-07 2.62182553e-07
1.61564625e+00 7.31481955e-09 2.71656605e-07 2.63395062e-07
1.62048351e+00 7.33672005e-09 2.73166925e-07 2.64600342e-07
1.62532078e+00 7.35862029e-09 2.74661744e-07 2.65798161e-07
1.63015804e+00 7.38052129e-09 2.76140559e-07 2.66988296e-07
1.63499530e+00 7.40242153e-09 2.77602880e-07 2.68170531e-07
1.63983257e+00 7.42432228e-09 2.79048240e-07 2.69344660e-07
1.64466983e+00 7.44622303e-09 2.80476179e-07 2.70510481e-07
1.64950710e+00 7.46812378e-09 2.81886254e-07 2.71667801e-07
1.65434436e+00 7.49002453e-09 2.83278042e-07 2.72816434e-07
1.65918162e+00 7.51192477e-09 2.84651133e-07 2.73956201e-07
1.66401889e+00 7.53382526e-09 2.86005137e-07 2.75086936e-07
1.66885615e+00 7.55572601e-09 2.87339679e-07 2.76208475e-07
1.67369342e+00 7.57762702e-09 2.88654403e-07 2.77320665e-07
1.67853068e+00 7.59952751e-09 2.89948968e-07 2.78423359e-07
1.68336795e+00 7.62142801e-09 2.91223057e-07 2.79516425e-07
1.68820521e+00 7.64332850e-09 2.92476367e-07 2.80599733e-07
1.69304247e+00 7.66522951e-09 2.93708614e-07 2.81673162e-07
1.69787974e+00 7.68713000e-09 2.94919536e-07 2.82736601e-07
1.70271700e+00 7.70903088e-09 2.96108884e-07 2.83789948e-07
1.70755427e+00 7.73093163e-09 2.97276438e-07 2.84833110e-07
1.71239153e+00 7.75283212e-09 2.98421990e-07 2.85866002e-07
1.71722880e+00 7.77473262e-09 2.99545355e-07 2.86888548e-07
1.72206606e+00 7.79663350e-09 3.00646364e-07 2.87900680e-07
1.72690332e+00 7.81853412e-09 3.01724879e-07 2.88902342e-07
1.73174059e+00 7.84043487e-09 3.02780770e-07 2.89893485e-07
1.73657785e+00 7.86233549e-09 3.03813935e-07 2.90874068e-07
1.74141512e+00 7.88423611e-09 3.04824290e-07 2.91844062e-07
1.74625238e+00 7.90613635e-09 3.05811770e-07 2.92803444e-07
1.75108964e+00 7.92803748e-09 3.06776337e-07 2.93752205e-07
1.75592691e+00 7.94993772e-09 3.07717969e-07 2.94690341e-07
1.76076417e+00 7.97183898e-09 3.08636665e-07 2.95617858e-07
1.76560144e+00 7.99373922e-09 3.09532444e-07 2.96534770e-07
1.77043870e+00 8.01563997e-09 3.10405352e-07 2.97441108e-07
1.77527597e+00 8.03754047e-09 3.11255452e-07 2.98336904e-07
1.78011323e+00 8.05944147e-09 3.12082826e-07 2.99222202e-07
1.78495049e+00 8.08134222e-09 3.12887580e-07 3.00097057e-07
1.78978776e+00 8.10324272e-09 3.13669839e-07 3.00961529e-07
1.79462502e+00 8.12514347e-09 3.14429752e-07 3.01815694e-07
1.79946229e+00 8.14704383e-09 3.15167485e-07 3.02659632e-07
1.80429955e+00 8.16894471e-09 3.15883226e-07 3.03493435e-07
1.80913682e+00 8.19084520e-09 3.16577183e-07 3.04317202e-07
1.81397408e+00 8.21274608e-09 3.17249588e-07 3.05131045e-07
1.81881134e+00 8.23464683e-09 3.17900689e-07 3.05935082e-07
1.82364861e+00 8.25654746e-09 3.18530756e-07 3.06729441e-07
1.82848587e+00 8.27844795e-09 3.19140078e-07 3.07514260e-07
1.83332314e+00 8.30034870e-09 3.19728963e-07 3.08289685e-07
1.83816040e+00 8.32224958e-09 3.20297741e-07 3.09055873e-07
1.84299766e+00 8.34415020e-09 3.20846759e-07 3.09812987e-07
1.84783493e+00 8.36605095e-09 3.21376385e-07 3.10561203e-07
